Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Bench Press (Barbell)",1,80.0,8.0,0,0.0,"","",
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Bench Press (Barbell)",2,80.0,8.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Bench Press (Barbell)",3,100.0,5.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Overhead Press (Barbell)",1,60.0,4.0,0,0.0,"",,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Overhead Press (Barbell)",2,60.0,4.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Overhead Press (Barbell)",3,60.0,4.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Wide Pull Up",1,0.0,6.0,0,0.0,"",,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Wide Pull Up",2,0.0,6.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Wide Pull Up",3,0.0,6.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Bench Press - Close Grip (Barbell)",1,60.0,10.0,0,0.0,"",,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Bench Press - Close Grip (Barbell)",2,60.0,10.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Bench Press - Close Grip (Barbell)",3,60.0,10.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Seated Row (Cable)",1,50.0,15.0,0,0.0,"",,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Seated Row (Cable)",2,50.0,15.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Seated Row (Cable)",3,50.0,15.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Chest Fly",1,12.0,21.0,0,0.0,"",,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Chest Fly",2,12.0,21.0,0,0.0,,,
2019-06-29 16:34:09,"Afternoon Workout",123h 44m,"Chest Fly",3,12.0,21.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Squat (Barbell)",1,120.0,5.0,0,0.0,"","",
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Squat (Barbell)",2,120.0,5.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Squat (Barbell)",3,120.0,5.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Squat (Barbell)",4,120.0,5.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Deadlift (Barbell)",1,140.0,4.0,0,0.0,"",,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Deadlift (Barbell)",2,140.0,4.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Deadlift (Barbell)",3,140.0,4.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Deadlift (Barbell)",4,140.0,4.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Leg Press",1,120.0,15.0,0,0.0,"",,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Leg Press",2,160.0,15.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Leg Press",3,160.0,15.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Seated Leg Curl (Machine)",1,55.0,12.0,0,0.0,"",,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Seated Leg Curl (Machine)",2,80.0,6.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Seated Leg Curl (Machine)",3,65.0,10.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Seated Leg Curl (Machine)",4,65.0,10.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Standing Calf Raise (Machine)",1,60.0,20.0,0,0.0,"",,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Standing Calf Raise (Machine)",2,60.0,20.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Standing Calf Raise (Machine)",3,60.0,20.0,0,0.0,,,
2019-07-04 20:20:41,"Evening Workout",2h 26m,"Standing Calf Raise (Machine)",4,60.0,20.0,0,0.0,,,
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"Bench Press (Barbell)",1,100.0,5.0,0,0.0,"","",
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"Bench Press (Barbell)",2,100.0,5.0,0,0.0,,,
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"Bench Press (Barbell)",3,100.0,5.0,0,0.0,,,
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"Incline Bench Press (Dumbbell)",1,26.0,10.0,0,0.0,"",,
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"Incline Bench Press (Dumbbell)",2,30.0,10.0,0,0.0,,,
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"Incline Bench Press (Dumbbell)",3,34.0,9.0,0,0.0,,,9
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"Incline Bench Press (Dumbbell)",4,34.0,8.0,0,0.0,,,10
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"T Bar Row",1,60.0,5.0,0,0.0,"",,
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"T Bar Row",2,70.0,5.0,0,0.0,,,
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"T Bar Row",3,70.0,5.0,0,0.0,,,
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"T Bar Row",4,70.0,5.0,0,0.0,,,
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"Lat Pulldown (Cable)",1,65.0,10.0,0,0.0,"",,
2019-07-06 14:36:03,"Afternoon Workout",4h 19m,"Lat Pulldown (Cable)",2,65.0,10.0,0,0.0,,,
