# video_id	published	timestamp	chapter	video_title
1_iNTFSw4Nc	2026-09-10	00:00:00	Oded Rechavi	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:00:24	DNA, Genome, RNA & Proteins	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:03:43	Somatic vs. Germ Cells; Inheritance	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:06:04	Lamarck vs. Darwin, Inheritance of Acquired Traits	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:08:27	Weismann Barrier, Epigenetic Reprogramming	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:11:46	RNA & Transgenerational Inheritance	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:12:35	Model Organisms, C. elegans	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:15:40	Inheritance of Acquired Traits in C. elegans	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:16:03	RNA Interference, Small RNAs & Gene Silencing	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:20:08	Viral Resistance Across Generations	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:22:15	Small RNAs, Mammals & Inherited Effects	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:23:23	Brain Activity, Memory & Heritable Information	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:26:09	Neuronal Small RNAs & Behavior Across Generations	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:27:22	Germ Cells, Development & Heritable RNA	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:29:01	Future Applications, Exercise, IVF & RNA Diagnostics	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
1_iNTFSw4Nc	2026-09-10	00:31:06	Acknowledgements	Essentials: Genes & the Inheritance of Memories Across Generations | Dr. Oded Rechavi
bv56Cuq-fyY	2026-09-07	00:00:00	Jared Rutter	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	00:02:29	Metabolism, Cells; Aging	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	00:08:36	Mitochondria, Origin & Cell Complexity	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	00:15:16	Mitochondria Genome, Inheritance	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	00:18:18	Mitochondria & Spatial Distribution; Cell-Specific Metabolism	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	00:25:59	Nutrient Energy, Hormones, Fat Cells	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	00:31:13	Glucose, ATP Conversion, Pyruvate	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	00:36:41	Cell Choice: Energy or Growth, Cancer; Virus	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	00:48:36	Microbiome, Role of Humans	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	00:51:44	Molecule Discovery Process, MPC1, MPC2	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	00:59:42	Cell Resource Sensing, Fasting, Glucagon, Fat Cells; Neurons, Heart	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	01:07:03	Cell Resource Allocation, MPC, Heart Failure; Disease	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	01:13:24	Cell Size vs Fuel Balance, Cell Identity & Disease	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	01:20:43	MPC Discovery, Genetics, Model Systems	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	01:24:29	Lactate, Oxygen, Exercise; Energy Prioritization Hierarchy	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	01:31:32	Cancer, Mutations, Metabolism Changes & Warburg Effect	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	01:36:18	Cancer Challenges & Therapies	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	01:43:00	Therapy Combinations, Unique Cancer Mutations & Metabolism	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	01:48:31	Technology to Visualize Metabolism; Disease, Metabolism & Scents	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
bv56Cuq-fyY	2026-09-07	01:56:34	Excess Energy & Mitochondria, Reactive Oxygen Species	How Mitochondria Control Your Metabolism | Dr. Jared Rutter
f1NNmiz547U	2026-09-03	00:00:00	Gina Poe	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:00:19	Sleep States, Perfect Night’s Sleep	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:02:23	Early Sleep, Memory Processing, Dreams	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:04:34	Growth Hormone & Early Sleep, Tool: Consistent Bedtime	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:06:47	Alcohol & Negative Sleep Effects	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:07:45	Middle Sleep States, Creativity	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:08:59	Waking During Night, Nighttime Urination	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:10:06	Later Sleep, REM, Deep Sleep; Sleepwalking	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:12:28	Morning Grogginess; Sleep Trackers	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:14:20	Early Sleep “Washout”, Brain Waste Clearence	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:18:23	Locus Coeruleus, Learning & REM Sleep, Tool: Calm Bedtime Routine	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:22:24	Sleep Spindles, P Waves, Learning & Creativity	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:25:47	Trauma Recovery, REM Sleep, Locus Coeruleus	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
f1NNmiz547U	2026-09-03	00:29:19	Acknowledgements	Essentials: Use Sleep to Enhance Learning, Memory & Emotional State | Dr. Gina Poe
Uzoe1RYVjiA	2026-08-31	00:00:00	Joe Liemandt	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	00:03:16	History of Traditional Classroom Model; Education Milestones	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	00:10:25	Alpha School, High Standards & Support	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	00:22:33	Effective Support, Academics vs Athletics; Homeschooling	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	00:30:03	AI, Individualized Learning & Mastery	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	00:34:31	Teacher Education, Standardized Tests, Role of School	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	00:43:42	AI, Scaffolding Learning, Mastery; Working Memory & Fluency	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	00:52:41	Working Memory, Focus; Gifted Kids	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	01:00:30	Basics Mastery, Grade Level Catch-Up, Individualized AI Lessons & Pace	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	01:08:17	Shame, Motivation, Growth Rate; Overcoming Mental Blocks & Paying Kids	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	01:20:55	Suffering & Motivation, Kids Goals, Sports; Doing Hard Things	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	01:31:21	Founders High School, Life Skills; Kids' Goals	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	01:42:44	Reimagining Classroom Education	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	01:47:21	Importance of Building & Creating, AI & Humanity	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	01:58:04	Science & Redesigning Experiments, Kids' Interest-Led Projects	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	02:05:26	Huberman Lab Live Events	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	02:06:14	Learning Predictors, Gender, Income; Redesigning the School System	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	02:18:32	Success; Sports Academy, Alpha School Expansion	How to Accelerate Learning & Improve Education | Joe Liemandt
Uzoe1RYVjiA	2026-08-31	02:28:36	Acknowledgements	How to Accelerate Learning & Improve Education | Joe Liemandt
E56LSFCNdkI	2026-08-27	00:00:00	Chris Palmer	Essentials: Diet & Nutrition for Mental Health | Dr. Chris Palmer
E56LSFCNdkI	2026-08-27	00:00:20	Personal Story, Nutrition & Mental Health	Essentials: Diet & Nutrition for Mental Health | Dr. Chris Palmer
E56LSFCNdkI	2026-08-27	00:05:28	Treatment-Resistant Mental Disorders & Low-Carbohydrate Diet	Essentials: Diet & Nutrition for Mental Health | Dr. Chris Palmer
E56LSFCNdkI	2026-08-27	00:07:32	Ketogenic Diet & Schizophrenia Success Story	Essentials: Diet & Nutrition for Mental Health | Dr. Chris Palmer
E56LSFCNdkI	2026-08-27	00:11:01	Nutrition for Mental Disorders, Ketosis, Highly Processed Foods	Essentials: Diet & Nutrition for Mental Health | Dr. Chris Palmer
E56LSFCNdkI	2026-08-27	00:13:55	Epilepsy & Ketogenic Diet, Fasting; Mitochondrial Benefits	Essentials: Diet & Nutrition for Mental Health | Dr. Chris Palmer
E56LSFCNdkI	2026-08-27	00:19:54	Mitochondria Functions, Mental Disorders	Essentials: Diet & Nutrition for Mental Health | Dr. Chris Palmer
E56LSFCNdkI	2026-08-27	00:25:44	Mitophagy, Autophagy, Longevity & Calorie Restriction	Essentials: Diet & Nutrition for Mental Health | Dr. Chris Palmer
E56LSFCNdkI	2026-08-27	00:30:51	Carbohydrate Restriction, Depression Treatment	Essentials: Diet & Nutrition for Mental Health | Dr. Chris Palmer
E56LSFCNdkI	2026-08-27	00:33:49	Acknowledgements	Essentials: Diet & Nutrition for Mental Health | Dr. Chris Palmer
58-k4F7-AoA	2026-08-24	00:00:00	Masud Husain	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	00:02:24	Apathy, Motivation	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	00:08:07	Rewards, Apathy & Motivation; Dopamine	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	00:15:44	Types of Apathy; Goal Prioritization: Effort vs Rewards	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	00:23:26	Motivation, Apathy, Tool: Activation Energy & Overthinking	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	00:29:24	Tools to Increase Motivation: Incentives, Subdivide Tasks, Planning	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	00:35:13	Subjective Effort, Mental Framing; Learning & Motivation	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	00:44:54	Perseverance, Failure; Finding Your Passion, Depression vs Apathy	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	00:50:58	Self-Concept, Ambition; Life Satisfaction	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	00:58:25	Psychedelics, Anhedonia & Changing Self	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	01:03:09	Personal & Social Identity, Tools: Curiosity, Purpose & Dementia Risk	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	01:11:58	Addiction, Dopamine; Social Media & Dopamine “Hits”?	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	01:20:13	Dopamine, Parkinson’s Disease; Other Roles of Dopamine	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	01:26:59	Life Purpose, Culture; Reflection, Weighing Decisions	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	01:34:21	Internal & External Attention	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	01:39:59	Internal Chatter, Distraction; Working Memory, Stimulants, Nicotine	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	01:48:54	ADHD, Diagnosis; Attention & Motivation	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	01:54:34	Goal Planning & Perseverance	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	01:59:44	Alzheimer’s Disease, Dementia, Apathy, Tools: Dementia Risk Factors	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	02:06:55	Neurodegenerative Disease & Emerging Treatments	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	02:10:59	Can You Train Attention?, Tool: Reduce Distraction	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
58-k4F7-AoA	2026-08-24	02:15:14	Enrichment, Art	How to Improve Motivation & Overcome Procrastination | Dr. Masud Husain
QP8Kpf1UQwM	2026-08-20	00:00:00	Rick Rubin & Creativity	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:00:23	Creativity as a Dream or Cloud	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:01:53	Childhood, Openness & Originality	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:03:29	Trust Your Taste; Experiment, Don't Over-Explain	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:05:27	Creative Aperture & New Perspectives	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:07:05	External Feedback & Staying True to the Work	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:08:31	Finishing Creative Projects	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:09:52	Focus, Disengagement & the Subconscious	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:12:32	Perception, Storytelling & Uncertainty	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:15:22	Pro Wrestling, Playfulness & Reality	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:16:44	Morning Routine & Receptivity	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:17:34	Four Phases of Creative Work; Deadlines	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:22:31	Self-Doubt as a Creative Tool	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:23:36	Capturing Real Moments; Authenticity	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:24:41	Routines, Advice & Staying Open	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:26:16	Look for Clues; Belief & Attention	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:29:15	Meditation: Mantra, Breath & Awareness	Essentials: How to Access Your Creativity | Rick Rubin
QP8Kpf1UQwM	2026-08-20	00:31:13	Monroe Institute Surgical Support Series	Essentials: How to Access Your Creativity | Rick Rubin
P-h5WSQG1Sw	2026-08-17	00:00:00	Ralph Adolphs	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	00:02:54	Emotions; Qualities of Emotions: Priority, Valence	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	00:10:00	Qualities of Emotions: Scalability, Persistence	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	00:18:17	Do Animals Have Emotions?, Conscious Experience	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	00:22:58	Monitoring & Regulating Emotions; Emotional Granularity	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	00:31:22	Emotional Regulation, Tools: Situational Avoidance, Ice Baths	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	00:37:11	Ultramarathons, Perseverance, Adversity; Awe	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	00:46:17	Perception of Emotions, Amygdala & Fear, Facial Expressions	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	00:51:59	Interpreting Others' Emotions, Prediction	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	00:57:52	Emotions as Adaptations to the Environment, Types of Fear	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	01:00:13	Feeling Emotions in the Body, Pain, Insula	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	01:08:05	Brain & Body Connection; Marketing & Emotion	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	01:14:11	Art, Music & Emotion	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	01:17:43	Interpreting Facial Expressions, Developing Emotions, Flexibility vs Reflexes	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	01:25:11	Emotional Intelligence, Context-Dependent Social Intelligence; Autism	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	01:34:51	Autism & Social Dynamics, Eye Contact	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	01:42:01	Change Your Personality?, Body Movement & Thought, Social Interaction	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	01:47:18	Emotion Regulation, Tool: Training Mental Stillness	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	01:53:46	Task Switching, Tool: Meditation, Breathing Techniques	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
P-h5WSQG1Sw	2026-08-17	02:02:07	Illness, Diagnosis & Emotions, Gratitude & Awe	Neuroscience of Emotions & Tools for Improving Emotion Regulation | Dr. Ralph Adolphs
wbuPQPu-03Y	2026-08-13	00:00:00	Female Hormone Health	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:00:24	Family History, Intergenerational Trauma; Endometriosis, Fibroids, PCOS	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:01:31	Biomarkers by Decade; Teens & Cortisol; 20s & Sex Hormones	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:03:35	Tool: Hormone Test Timing; Micronutrient Testing, Magnesium	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:05:40	Tool: Smoothies, Greens Powders & Microbiome	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:06:39	Nutrient Panels, Antioxidants, B Vitamins, Glutathione	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:08:01	Constipation, Thyroid Dysfunction; Trauma & Female Physiology	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:10:17	Tools: Reduce Perceived Stress, Meditation, Yoga, Breathwork	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:11:58	Opportunities by Decade; Androgens & Testosterone Decline	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:13:18	PCOS, Diagnostic Criteria, Hirsutism, Cardiometabolic Risk	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:15:38	Insulin & Glucose; Tool: Continuous Glucose Monitors	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:16:34	Democratizing Health Data	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
wbuPQPu-03Y	2026-08-13	00:17:19	Longevity "Don’ts"; Chronic Cardio & Cortisol; Tool: Adaptive Exercise	Essentials: How to Optimize Female Hormone Health for Vitality & Longevity | Dr. Sara Gottfried
